signal,description
return_1d_lag_1,return_1d_lag_1
return_1d_lag_2,return_1d_lag_2
return_1d_lag_3,return_1d_lag_3
return_1d_lag_4,return_1d_lag_4
return_1d_lag_5,return_1d_lag_5
return_1d_lag_6,return_1d_lag_6
return_1d_lag_7,return_1d_lag_7
return_1d_lag_8,return_1d_lag_8
return_1d_lag_9,return_1d_lag_9
return_1d_lag_10,return_1d_lag_10
avg_return_2d,avg_return_2d
avg_return_3d,avg_return_3d
avg_return_5d,avg_return_5d
avg_return_10d,avg_return_10d
avg_return_20d,avg_return_20d
sum_return_2d,sum_return_2d
sum_return_3d,sum_return_3d
sum_return_5d,sum_return_5d
sum_return_10d,sum_return_10d
sum_return_20d,sum_return_20d
volatility_3d,volatility_3d
volatility_5d,volatility_5d
volatility_10d,volatility_10d
volatility_20d,volatility_20d
avg_abs_move_3d,avg_abs_move_3d
avg_abs_move_5d,avg_abs_move_5d
avg_abs_move_10d,avg_abs_move_10d
avg_abs_move_20d,avg_abs_move_20d
price_vs_ma_3d,price_vs_ma_3d
price_vs_ma_5d,price_vs_ma_5d
price_vs_ma_10d,price_vs_ma_10d
price_vs_ma_20d,price_vs_ma_20d
price_vs_ma_50d,price_vs_ma_50d
up_day_ratio_3d,up_day_ratio_3d
up_day_ratio_5d,up_day_ratio_5d
up_day_ratio_10d,up_day_ratio_10d
up_day_ratio_20d,up_day_ratio_20d
down_day_ratio_3d,down_day_ratio_3d
down_day_ratio_5d,down_day_ratio_5d
down_day_ratio_10d,down_day_ratio_10d
down_day_ratio_20d,down_day_ratio_20d
distance_from_20d_high,distance_from_20d_high
distance_from_20d_low,distance_from_20d_low
distance_from_50d_high,distance_from_50d_high
distance_from_50d_low,distance_from_50d_low
market_return_1d,market_return_1d
market_return_5d,market_return_5d
sector_return_1d,sector_return_1d
sector_return_5d,sector_return_5d
relative_strength_5d,relative_strength_5d
