symbol,companyName,next_day_prediction_as_of_date,next_day_predicted_direction,next_day_predicted_low,next_day_predicted_high,next_day_predicted_range,2026-06-05_prediction_date,2026-06-05_predicted_direction,2026-06-05_actual_direction,2026-06-05_direction_result,2026-06-05_direction_accuracy_pct,2026-06-05_predicted_close,2026-06-05_actual_close,2026-06-05_predicted_low,2026-06-05_actual_low,2026-06-05_predicted_high,2026-06-05_actual_high,2026-06-05_predicted_range,2026-06-05_actual_range,2026-06-05_low_accuracy_pct,2026-06-05_high_accuracy_pct,2026-06-05_range_accuracy_pct
AVERAGE,Average accuracy,,,,,,,,,,32.0,,,,,,,,,99.77662967252495,99.7823315905633,99.77948063154413
T,AT&T,2026-06-05,Down,22.304000091552734,23.195999908447266,0.8919998168945327,2026-06-04,Up,Down,Wrong predicted Up,0.0,22.770000457763672,22.75,22.5820011138916,22.59000015258789,23.05000114440918,23.040000915527344,0.46800003051757955,0.4500007629394531,99.96459035572262,99.95659623053619,99.9605932931294
EA,Electronic Arts,2026-06-05,Down,202.58400268554686,203.41599731445314,0.8319946289062727,2026-06-04,Up,Down,Wrong predicted Up,0.0,203.3999938964844,203.0,202.7759948730469,202.7100067138672,203.7479949951172,203.8999938964844,0.9720001220703125,1.189987182617216,99.96744701445704,99.92545419033002,99.94645060239353
NOC,Northrop Grumman,2026-06-05,Down,533.3940307617188,555.4060180664062,22.01198730468741,2026-06-04,Up,Down,Wrong predicted Up,0.0,545.1699829101562,544.4000244140625,539.9240468986189,540.1699829101562,552.4546581082703,551.9600219726562,12.530611209651397,11.7900390625,99.95447062604028,99.91038551418157,99.93242807011092
SBUX,Starbucks,2026-06-05,Down,93.9040008544922,96.67600097656249,2.7720001220702954,2026-06-04,Up,Up,Correct predicted Up,100.0,94.13999938964844,95.29000091552734,93.60799865722656,93.63999938964844,96.0959976196289,95.98999786376952,2.4879989624023438,2.3499984741210795,99.96582578745145,99.88957208228109,99.92769893486627
TMO,Thermo Fisher Scientific,2026-06-05,Down,465.01398925781245,480.58598632812493,15.571997070312477,2026-06-04,Up,Down,Wrong predicted Up,0.0,482.0299987792969,472.7999877929687,470.34599609375,469.6199951171875,486.87599487304686,486.7900085449219,16.529998779296875,17.170013427734375,99.84540671519292,99.98233605320249,99.9138713841977
CVX,Chevron Corporation,2026-06-05,Down,185.37999572753907,189.23999938964843,3.8600036621093636,2026-06-04,Up,Down,Wrong predicted Up,0.0,188.3500061035156,187.30999755859375,186.50400390624998,186.58999633789065,189.85400085449214,189.61000061035156,3.3499969482421648,3.020004272460909,99.9539136966995,99.87131467572641,99.91261418621295
DHR,Danaher Corporation,2026-06-05,Down,180.41400451660155,188.18600158691407,7.771997070312523,2026-06-04,Up,Down,Wrong predicted Up,0.0,186.63999938964844,184.3000030517578,183.55800170898436,183.7899932861328,188.35999755859376,188.75,4.801995849609398,4.9600067138671875,99.87377355371721,99.79337618998345,99.83357487185033
NEE,NextEra Energy,2026-06-05,Down,84.18040771484375,87.4995849609375,3.3191772460937443,2026-06-04,Up,Up,Correct predicted Up,100.0,85.05699920654297,85.83999633789062,84.40973811090909,84.61000061035156,86.19863576903582,86.0999984741211,1.7888976581267286,1.4899978637695312,99.76331107670744,99.88543867983415,99.82437487827079
RTX,RTX Corporation,2026-06-05,Down,177.88000488281253,184.10000610351565,6.220001220703125,2026-06-04,Up,Up,Correct predicted Up,100.0,179.41000366210938,180.9900054931641,177.9320037841797,178.00999450683594,181.94400329589843,182.52999877929688,4.011999511718727,4.5200042724609375,99.95618744729906,99.67895935609631,99.81757340169769
PCAR,Paccar,2026-06-05,Down,114.50200042724609,118.85800018310547,4.355999755859386,2026-06-04,Up,Down,Wrong predicted Up,0.0,118.06999969482422,116.68000030517578,116.21199951171874,116.19000244140624,119.16999969482421,118.7300033569336,2.9580001831054688,2.540000915527358,99.98106801803056,99.62941436414528,99.80524119108792
NFLX,Netflix,2026-06-05,Down,81.1479995727539,83.21200103759766,2.0640014648437557,2026-06-04,Up,Up,Correct predicted Up,100.0,81.55999755859375,82.18000030517578,81.13599853515625,81.0,82.98999938964843,82.75,1.8540008544921847,1.75,99.83210057388118,99.70997052610461,99.77103554999289
MPC,Marathon Petroleum,2026-06-05,Down,257.2820159912109,266.7380035400391,9.455987548828148,2026-06-04,Up,Down,Wrong predicted Up,0.0,267.04998779296875,262.010009765625,262.84998779296876,261.8999938964844,269.9679870605469,269.6600036621094,7.117999267578114,7.760009765625,99.63726845413373,99.88578825400322,99.76152835406847
LHX,L3Harris,2026-06-05,Down,304.0925659179687,311.5674072265625,7.4748413085937955,2026-06-04,Up,Down,Wrong predicted Up,0.0,308.5299987792969,307.8299865722656,305.3827521795745,306.45001220703125,310.9422288959664,311.4599914550781,5.559476716391941,5.009979248046875,99.65173438246244,99.83376273893387,99.74274856069815
PSX,Phillips 66,2026-06-05,Down,181.00000610351563,185.15999755859374,4.159991455078114,2026-06-04,Up,Down,Wrong predicted Up,0.0,184.13999938964844,183.0800018310547,181.9459991455078,181.11000061035156,186.15599670410157,186.0500030517578,4.209997558593756,4.94000244140625,99.53840288645637,99.94302948099696,99.74071618372666
GE,GE Aerospace,2026-06-05,Down,323.1680053710937,332.8319946289063,9.663989257812545,2026-06-04,Up,Up,Correct predicted Up,100.0,327.6499938964844,328.0,322.0319885253906,322.5299987792969,331.185986328125,332.489990234375,9.153997802734409,9.959991455078125,99.84559257873961,99.60780656725011,99.72669957299486
AME,Ametek,2026-06-05,Down,224.5300048828125,228.57000122070312,4.039996337890614,2026-06-04,Up,Down,Wrong predicted Up,0.0,228.7599945068359,226.5500030517578,225.70799560546874,225.6000061035156,230.03399658203122,228.8800048828125,4.326000976562483,3.2799987792969034,99.95213231425907,99.49580929980775,99.72397080703341
