symbol,companyName,sector,industry,trading212_cfd_available,source
SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals",True,seeded_from_us_top250_pending_platform_verification
LITE,Lumentum,Information Technology,Communications Equipment,True,seeded_from_us_top250_pending_platform_verification
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",True,seeded_from_us_top250_pending_platform_verification
MU,Micron Technology,Information Technology,Semiconductors,True,seeded_from_us_top250_pending_platform_verification
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",True,seeded_from_us_top250_pending_platform_verification
CIEN,Ciena,Information Technology,Communications Equipment,True,seeded_from_us_top250_pending_platform_verification
INTC,Intel,Information Technology,Semiconductors,True,seeded_from_us_top250_pending_platform_verification
COHR,Coherent Corp.,Information Technology,Electronic Components,True,seeded_from_us_top250_pending_platform_verification
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,True,seeded_from_us_top250_pending_platform_verification
AMD,Advanced Micro Devices,Information Technology,Semiconductors,True,seeded_from_us_top250_pending_platform_verification
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,True,seeded_from_us_top250_pending_platform_verification
GLW,Corning Inc.,Information Technology,Electronic Components,True,seeded_from_us_top250_pending_platform_verification
FIX,Comfort Systems USA,Industrials,Construction & Engineering,True,seeded_from_us_top250_pending_platform_verification
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",True,seeded_from_us_top250_pending_platform_verification
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,True,seeded_from_us_top250_pending_platform_verification
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",True,seeded_from_us_top250_pending_platform_verification
VRT,Vertiv,Industrials,Electrical Components & Equipment,True,seeded_from_us_top250_pending_platform_verification
ON,ON Semiconductor,Information Technology,Semiconductors,True,seeded_from_us_top250_pending_platform_verification
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,True,seeded_from_us_top250_pending_platform_verification
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,True,seeded_from_us_top250_pending_platform_verification
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,True,seeded_from_us_top250_pending_platform_verification
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,True,seeded_from_us_top250_pending_platform_verification
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,True,seeded_from_us_top250_pending_platform_verification
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,True,seeded_from_us_top250_pending_platform_verification
NUE,Nucor,Materials,Steel,True,seeded_from_us_top250_pending_platform_verification
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,True,seeded_from_us_top250_pending_platform_verification
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,True,seeded_from_us_top250_pending_platform_verification
CSCO,Cisco,Information Technology,Communications Equipment,True,seeded_from_us_top250_pending_platform_verification
DDOG,Datadog,Information Technology,Application Software,True,seeded_from_us_top250_pending_platform_verification
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,True,seeded_from_us_top250_pending_platform_verification
PWR,Quanta Services,Industrials,Construction & Engineering,True,seeded_from_us_top250_pending_platform_verification
ADI,Analog Devices,Information Technology,Semiconductors,True,seeded_from_us_top250_pending_platform_verification
NEM,Newmont,Materials,Gold,True,seeded_from_us_top250_pending_platform_verification
GEV,GE Vernova,Industrials,Heavy Electrical Equipment,True,seeded_from_us_top250_pending_platform_verification
FDX,FedEx,Industrials,Air Freight & Logistics,True,seeded_from_us_top250_pending_platform_verification
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,True,seeded_from_us_top250_pending_platform_verification
C,Citigroup,Financials,Diversified Banks,True,seeded_from_us_top250_pending_platform_verification
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,True,seeded_from_us_top250_pending_platform_verification
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,True,seeded_from_us_top250_pending_platform_verification
ANET,Arista Networks,Information Technology,Communications Equipment,True,seeded_from_us_top250_pending_platform_verification
FCX,Freeport-McMoRan,Materials,Copper,True,seeded_from_us_top250_pending_platform_verification
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,True,seeded_from_us_top250_pending_platform_verification
STT,State Street Corporation,Financials,Asset Management & Custody Banks,True,seeded_from_us_top250_pending_platform_verification
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,True,seeded_from_us_top250_pending_platform_verification
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,True,seeded_from_us_top250_pending_platform_verification
QCOM,Qualcomm,Information Technology,Semiconductors,True,seeded_from_us_top250_pending_platform_verification
TXN,Texas Instruments,Information Technology,Semiconductors,True,seeded_from_us_top250_pending_platform_verification
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,True,seeded_from_us_top250_pending_platform_verification
NXPI,NXP Semiconductors,Information Technology,Semiconductors,True,seeded_from_us_top250_pending_platform_verification
DAL,Delta Air Lines,Industrials,Passenger Airlines,True,seeded_from_us_top250_pending_platform_verification
AVGO,Broadcom,Information Technology,Semiconductors,True,seeded_from_us_top250_pending_platform_verification
BNY,BNY Mellon,Financials,Asset Management & Custody Banks,True,seeded_from_us_top250_pending_platform_verification
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,True,seeded_from_us_top250_pending_platform_verification
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,True,seeded_from_us_top250_pending_platform_verification
MRK,Merck & Co.,Health Care,Pharmaceuticals,True,seeded_from_us_top250_pending_platform_verification
APH,Amphenol,Information Technology,Electronic Components,True,seeded_from_us_top250_pending_platform_verification
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,True,seeded_from_us_top250_pending_platform_verification
URI,United Rentals,Industrials,Trading Companies & Distributors,True,seeded_from_us_top250_pending_platform_verification
NVDA,Nvidia,Information Technology,Semiconductors,True,seeded_from_us_top250_pending_platform_verification
MCHP,Microchip Technology,Information Technology,Semiconductors,True,seeded_from_us_top250_pending_platform_verification
CVS,CVS Health,Health Care,Health Care Services,True,seeded_from_us_top250_pending_platform_verification
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",True,seeded_from_us_top250_pending_platform_verification
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,True,seeded_from_us_top250_pending_platform_verification
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,True,seeded_from_us_top250_pending_platform_verification
XOM,ExxonMobil,Energy,Integrated Oil & Gas,True,seeded_from_us_top250_pending_platform_verification
LLY,Lilly (Eli),Health Care,Pharmaceuticals,True,seeded_from_us_top250_pending_platform_verification
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,True,seeded_from_us_top250_pending_platform_verification
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,True,seeded_from_us_top250_pending_platform_verification
CSX,CSX Corporation,Industrials,Rail Transportation,True,seeded_from_us_top250_pending_platform_verification
CRWD,CrowdStrike,Information Technology,Systems Software,True,seeded_from_us_top250_pending_platform_verification
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",True,seeded_from_us_top250_pending_platform_verification
