rank_1y_performance,symbol,companyName,exchange,sector,industry,marketCap,as_of_date,latest_price,return_1d_pct,return_5d_pct,return_1m_pct,return_3m_pct,return_6m_pct,return_1y_pct,ytd_return_pct,one_year_high,drawdown_from_1y_high_pct,observations
1,SNDK,Sandisk,US,Information Technology,"Technology Hardware, Storage & Peripherals",230919313491.0,2026-06-05,1559.3199,-11.39,-8.0,10.59,195.7,702.2,3815.92,466.53,1831.5,-14.86,288
2,LITE,Lumentum,US,Information Technology,Communications Equipment,67192745911.0,2026-06-05,863.66,-8.62,1.02,-8.54,54.66,185.06,975.81,123.68,1053.09,-17.99,288
3,WDC,Western Digital,US,Information Technology,"Technology Hardware, Storage & Peripherals",176380740496.0,2026-06-05,511.72,-11.06,-3.64,5.94,108.71,229.4,842.69,172.83,593.9551,-13.85,288
4,MU,Micron Technology,US,Information Technology,Semiconductors,974373508418.0,2026-06-05,864.01,-13.25,-11.02,29.62,133.43,269.29,738.82,174.04,1079.5699,-19.97,288
5,STX,Seagate Technology,US,Information Technology,"Technology Hardware, Storage & Peripherals",191741874118.0,2026-06-05,847.47,-8.48,-3.67,7.76,140.63,229.06,572.51,195.25,940.69,-9.91,288
6,CIEN,Ciena,US,Information Technology,Communications Equipment,69107550840.0,2026-06-05,488.21,-8.85,-15.86,-15.36,65.96,152.5,481.96,98.41,627.0,-22.14,288
7,INTC,Intel,US,Information Technology,Semiconductors,498428410797.0,2026-06-05,99.17,-11.28,-13.52,-12.25,128.4,126.62,389.73,151.83,129.44,-23.39,288
8,COHR,Coherent Corp.,US,Information Technology,Electronic Components,73754065713.0,2026-06-05,376.99,-10.64,4.29,9.38,59.93,120.51,361.83,93.99,426.89,-11.69,288
9,TER,Teradyne,US,Information Technology,Semiconductor Materials & Equipment,56031134898.0,2026-06-05,357.93,-12.03,-4.38,-6.38,31.14,83.62,337.3,72.58,417.9221,-14.35,288
10,AMD,Advanced Micro Devices,US,Information Technology,Semiconductors,760479533979.0,2026-06-05,466.38,-10.86,-9.63,10.68,142.36,114.33,293.3,108.7,542.52,-14.03,288
12,LRCX,Lam Research,US,Information Technology,Semiconductor Materials & Equipment,379263466393.0,2026-06-05,303.28,-9.85,-4.68,2.06,52.15,90.07,260.39,64.08,343.71,-11.76,288
13,DELL,Dell Technologies,US,Information Technology,"Technology Hardware, Storage & Peripherals",256183246225.0,2026-06-05,394.39,-6.55,-6.3,65.15,170.08,197.34,255.27,210.91,465.96,-15.36,288
14,GLW,Corning Inc.,US,Information Technology,Electronic Components,152832066539.0,2026-06-05,177.58,-10.18,-1.98,-2.05,44.26,113.27,253.67,96.52,207.9613,-14.61,288
15,HPE,Hewlett Packard Enterprise,US,Information Technology,"Technology Hardware, Storage & Peripherals",65150814243.0,2026-06-05,49.2,-8.36,14.31,62.0,134.35,123.79,182.76,104.87,56.15,-12.38,288
16,AMAT,Applied Materials,US,Information Technology,Semiconductor Materials & Equipment,359671569138.0,2026-06-05,453.01,-9.71,0.66,5.82,39.67,69.06,181.81,68.91,501.7,-9.71,288
18,VRT,Vertiv,US,Industrials,Electrical Components & Equipment,115428544047.0,2026-06-05,300.51,-7.23,-4.81,-16.27,24.32,68.04,166.62,71.16,376.23,-20.13,288
20,KLAC,KLA Corporation,US,Information Technology,Semiconductor Materials & Equipment,252006607135.0,2026-06-05,1929.2,-9.47,0.39,6.35,43.67,59.62,148.26,51.76,2131.1001,-9.47,288
